                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.23823,                 1.4046,                0.98265,                0.83636,                 0.6476,                0.82205,                0.74375,                0.29966,                0.72864,                0.63543,              0.0002215,              0.0002215,              0.0002215
                      2,                0.15413,                0.53509,                0.91312,                0.87428,                0.83688,                0.92179,                0.89417,                0.20261,                0.45711,                0.53999,             0.00043505,             0.00043505,             0.00043505
                      3,                0.16049,                0.50037,                0.90841,                0.74753,                 0.8652,                0.86799,                0.82875,                0.27878,                0.48361,                0.58275,             0.00063979,             0.00063979,             0.00063979
                      4,                0.14632,                0.46279,                0.90491,                0.71787,                0.85091,                0.89015,                0.86253,                0.27116,                0.56592,                0.58678,             0.00062738,             0.00062738,             0.00062738
                      5,                0.12991,                0.41583,                 0.8938,                0.88042,                   0.85,                0.94309,                 0.9156,                0.23231,                0.42351,                 0.5489,             0.00062738,             0.00062738,             0.00062738
                      6,                0.12029,                0.37231,                0.88783,                0.95811,                0.92245,                0.97743,                0.97134,                  0.201,                0.28075,                 0.4851,             0.00061417,             0.00061417,             0.00061417
                      7,                0.11247,                0.34697,                0.88123,                0.92821,                0.90228,                0.96845,                0.84748,                0.28629,                 0.4883,                0.58428,             0.00060097,             0.00060097,             0.00060097
                      8,                0.10175,                0.32222,                0.88232,                0.94707,                0.98403,                0.99124,                0.97531,                 0.1947,                0.24042,                0.49778,             0.00058776,             0.00058776,             0.00058776
                      9,                0.09929,                0.30587,                0.88046,                0.95227,                0.92669,                0.98439,                0.97275,                0.17464,                0.25429,                0.47972,             0.00057455,             0.00057455,             0.00057455
                     10,                0.10043,                0.28744,                0.88659,                0.92373,                0.91495,                0.98585,                0.98268,                0.18811,                0.29795,                0.48888,             0.00056135,             0.00056135,             0.00056135
                     11,                0.08826,                0.26432,                0.87684,                0.95413,                0.97871,                 0.9922,                0.98659,                0.17667,                0.23832,                0.47821,             0.00054814,             0.00054814,             0.00054814
                     12,                0.08823,                0.25901,                0.87541,                0.99005,                0.98917,                0.99438,                0.99242,                0.16313,                0.17997,                 0.4602,             0.00053493,             0.00053493,             0.00053493
                     13,                0.08552,                0.25613,                0.87806,                0.98009,                0.98171,                 0.9935,                0.98901,                0.14214,                0.19576,                0.43849,             0.00052173,             0.00052173,             0.00052173
                     14,                0.07828,                0.22874,                0.87505,                0.98894,                0.98992,                0.99484,                0.99279,                0.12696,                0.19294,                0.41888,             0.00050852,             0.00050852,             0.00050852
                     15,                0.07641,                0.23165,                0.86643,                0.96488,                0.98074,                0.99469,                0.99145,                0.14134,                0.19528,                 0.4393,             0.00049531,             0.00049531,             0.00049531
                     16,                0.07319,                0.21418,                0.87126,                0.98349,                0.98866,                0.99448,                0.98983,                0.13166,                0.19788,                0.41326,             0.00048211,             0.00048211,             0.00048211
                     17,                0.07219,                0.21878,                0.87105,                0.99228,                0.99339,                0.99497,                0.98895,                0.14291,                0.17297,                0.43978,              0.0004689,              0.0004689,              0.0004689
                     18,                0.07162,                0.20935,                0.87476,                 0.9918,                 0.9949,                0.99493,                0.98821,                0.14561,                0.15248,                0.44142,             0.00045569,             0.00045569,             0.00045569
                     19,                0.06798,                0.21339,                0.87024,                0.99102,                0.97829,                0.99474,                0.99182,                0.15016,                0.18399,                0.44106,             0.00044249,             0.00044249,             0.00044249
                     20,                0.06978,                0.20824,                0.87276,                0.98649,                0.99399,                  0.995,                0.98991,                0.13501,                0.17697,                0.42576,             0.00042928,             0.00042928,             0.00042928
                     21,                0.06545,                0.19564,                0.86653,                0.99072,                0.98594,                0.99462,                0.99317,                 0.1539,                0.17602,                0.44184,             0.00041607,             0.00041607,             0.00041607
                     22,                 0.0635,                 0.1845,                 0.8689,                0.99648,                0.99734,                  0.995,                0.99341,                0.14591,                0.15829,                0.43991,             0.00040287,             0.00040287,             0.00040287
                     23,                0.06129,                0.18731,                0.86651,                0.97239,                0.98547,                0.99365,                0.98989,                0.16105,                0.22086,                0.45778,             0.00038966,             0.00038966,             0.00038966
                     24,                0.06093,                0.17994,                0.86686,                0.99528,                      1,                  0.995,                0.99232,                0.13122,                0.16343,                0.42455,             0.00037645,             0.00037645,             0.00037645
                     25,                0.05747,                0.17325,                0.86352,                0.99413,                0.99844,                  0.995,                0.99287,                0.15322,                0.20169,                0.46473,             0.00036325,             0.00036325,             0.00036325
                     26,                0.05802,                0.17158,                0.86768,                0.98338,                0.98989,                0.99259,                0.99195,                0.14837,                0.28356,                0.45046,             0.00035004,             0.00035004,             0.00035004
                     27,                0.05645,                0.17414,                0.86491,                0.98564,                 0.9967,                  0.995,                0.99286,                0.14375,                0.16648,                0.43414,             0.00033683,             0.00033683,             0.00033683
                     28,                0.05476,                0.16403,                0.86439,                0.99699,                0.99692,                  0.995,                0.99307,                0.13218,                0.15332,                0.43099,             0.00032363,             0.00032363,             0.00032363
                     29,                0.05389,                0.16194,                0.86258,                0.99725,                0.99198,                0.99497,                0.99237,                0.14595,                0.17383,                0.45043,             0.00031042,             0.00031042,             0.00031042
                     30,                0.05193,                0.15537,                0.86574,                 0.9969,                0.99972,                  0.995,                0.99305,                0.14418,                0.17047,                0.44564,             0.00029722,             0.00029722,             0.00029722
                     31,                 0.0512,                0.14665,                0.86209,                0.99287,                0.99237,                  0.995,                0.99284,                0.13649,                 0.1722,                0.43056,             0.00028401,             0.00028401,             0.00028401
                     32,                0.04809,                0.15431,                0.86145,                 0.9975,                0.99876,                  0.995,                 0.9933,                0.15973,                0.18646,                0.47271,              0.0002708,              0.0002708,              0.0002708
                     33,                0.05001,                 0.1551,                0.86716,                0.99781,                0.98895,                0.99481,                0.99279,                0.12791,                0.16809,                0.41765,              0.0002576,              0.0002576,              0.0002576
                     34,                0.04654,                0.14626,                0.86363,                0.99769,                0.99882,                  0.995,                0.99454,                0.11995,                0.16053,                0.40463,             0.00024439,             0.00024439,             0.00024439
                     35,                0.04495,                0.14079,                0.86491,                0.99577,                 0.9892,                0.99466,                0.99387,                0.10732,                0.13793,                0.38972,             0.00023118,             0.00023118,             0.00023118
                     36,                0.04403,                0.13988,                0.86352,                0.99203,                0.99589,                  0.995,                0.99341,                0.12062,                0.16511,                0.40848,             0.00021798,             0.00021798,             0.00021798
                     37,                0.04352,                0.13868,                0.86339,                0.99719,                0.99895,                  0.995,                0.99303,                0.11372,                 0.1484,                0.40732,             0.00020477,             0.00020477,             0.00020477
                     38,                0.04242,                0.13403,                0.86058,                0.99303,                0.99035,                0.99486,                 0.9939,                0.14481,                0.17925,                0.44954,             0.00019156,             0.00019156,             0.00019156
                     39,                0.04052,                0.12975,                0.86037,                0.99748,                0.99508,                  0.995,                0.99284,                0.13241,                0.16249,                0.43967,             0.00017836,             0.00017836,             0.00017836
                     40,                0.04048,                0.12557,                0.86277,                0.99689,                 0.9989,                  0.995,                0.99433,                0.12736,                0.16147,                0.42393,             0.00016515,             0.00016515,             0.00016515
                     41,                0.05099,                0.10137,                0.84506,                0.99696,                0.99657,                  0.995,                  0.995,                0.08943,                0.12696,                0.36475,             0.00015194,             0.00015194,             0.00015194
                     42,                0.04407,                0.07758,                0.84087,                0.99822,                0.99769,                  0.995,                0.99441,                 0.1332,                0.16283,                0.42363,             0.00013874,             0.00013874,             0.00013874
                     43,                0.03961,                0.06807,                0.83924,                0.99791,                0.99671,                  0.995,                  0.995,                0.12089,                0.15939,                0.41278,             0.00012553,             0.00012553,             0.00012553
                     44,                0.03851,                0.06928,                0.83755,                0.99828,                0.99926,                  0.995,                  0.995,                0.13612,                0.16623,                0.43334,             0.00011232,             0.00011232,             0.00011232
                     45,                0.03558,                 0.0562,                0.83725,                0.99847,                0.99992,                  0.995,                  0.995,                0.12604,                0.17437,                 0.4209,             9.9116e-05,             9.9116e-05,             9.9116e-05
                     46,                0.03293,                 0.0553,                 0.8361,                0.99864,                      1,                  0.995,                  0.995,                0.12751,                 0.1722,                0.42291,              8.591e-05,              8.591e-05,              8.591e-05
